club_id,wikidata_id,club_name,club_name_ascii,country,league,city,stadium,club_lat,club_lon,club_source_url,geo_source,manual_review_flag,notes
c_neftchi_0cda2dd5,,Neftchi,Neftchi,,,,,,,,,FALSE,
c_neom_dd0f566d,,Neom,Neom,,,,,,,,,FALSE,
c_new_england_revolution_d4ef9fc5,,New England Revolution,New England Revolution,,,,,,,,,FALSE,
c_new_york_city_fc_d53241ec,,New York City FC,New York City FC,,,,,,,,,FALSE,
c_newcastle_12703e8b,,Newcastle,Newcastle,,,,,,,,,FALSE,
c_newcastle_jets_131175aa,,Newcastle Jets,Newcastle Jets,,,,,,,,,FALSE,
c_newcastle_united_492af7e1,,Newcastle United,Newcastle United,,,,,,,,,FALSE,
c_nice_a83a802d,,Nice,Nice,,,,,,,,,FALSE,
c_nordsjaelland_485bda61,,Nordsjaelland,Nordsjaelland,,,,,,,,,FALSE,
c_norwich_0fd7ee1d,,Norwich,Norwich,,,,,,,,,FALSE,
c_norwich_city_9bfbedcc,,Norwich City,Norwich City,,,,,,,,,FALSE,
c_nottingham_forest_a950aa00,,Nottingham Forest,Nottingham Forest,,,,,,,,,FALSE,
c_olimpia_aed7596a,,Olimpia,Olimpia,,,,,,,,,FALSE,
c_olympiacos_41b104a8,,Olympiacos,Olympiacos,,,,,,,,,FALSE,
c_omonia_6a13a5a4,,Omonia,Omonia,,,,,,,,,FALSE,
c_orlando_city_33cea553,,Orlando City,Orlando City,,,,,,,,,FALSE,
c_orlando_pirates_1c8e17d1,,Orlando Pirates,Orlando Pirates,,,,,,,,,FALSE,
c_osasuna_f20766a6,,Osasuna,Osasuna,,,,,,,,,FALSE,
c_paok_d88141c2,,PAOK,PAOK,,,,,,,,,FALSE,
c_paok_salonika_f8af5c0c,,PAOK Salonika,PAOK Salonika,,,,,,,,,FALSE,
c_pec_zwolle_79d3df3c,,PEC Zwolle,PEC Zwolle,,,,,,,,,FALSE,
c_psg_7fc479b7,,PSG,PSG,,,,,,,,,FALSE,
c_psv_cba0ce05,,PSV,PSV,,,,,,,,,FALSE,
c_psv_eindhoven_143e5a85,,PSV Eindhoven,PSV Eindhoven,,,,,,,,,FALSE,
c_pachuca_a4c33119,,Pachuca,Pachuca,,,,,,,,,FALSE,
c_pafos_0aaaf55f,,Pafos,Pafos,,,,,,,,,FALSE,
c_pakhtakor_52dbbda0,,Pakhtakor,Pakhtakor,,,,,,,,,FALSE,
c_palmeiras_a7b8813c,,Palmeiras,Palmeiras,,,,,,,,,FALSE,
c_panathinaikos_36cb748c,,Panathinaikos,Panathinaikos,,,,,,,,,FALSE,
c_pari_nizhny_novgorod_1b7306d2,,Pari Nizhny Novgorod,Pari Nizhny Novgorod,,,,,,,,,FALSE,
c_paris_fc_4acde809,,Paris FC,Paris FC,,,,,,,,,FALSE,
c_paris_saint_germain_e38062ac,,Paris Saint-Germain,Paris Saint-Germain,,,,,,,,,FALSE,
c_paris_saint_germian_5c4474af,,Paris Saint-Germian,Paris Saint-Germian,,,,,,,,,FALSE,
c_parma_9553b2a1,,Parma,Parma,,,,,,,,,FALSE,
c_persepolis_5a29c9d4,,Persepolis,Persepolis,,,,,,,,,FALSE,
c_peterborough_united_fc1a3742,,Peterborough United,Peterborough United,,,,,,,,,FALSE,
c_philadelphia_union_e87259be,,Philadelphia Union,Philadelphia Union,,,,,,,,,FALSE,
c_pisa_758b9ea7,,Pisa,Pisa,,,,,,,,,FALSE,
c_plaza_amador_6faeaf34,,Plaza Amador,Plaza Amador,,,,,,,,,FALSE,
c_pogon_szczecin_1d372b0b,,Pogoń Szczecin,Pogon Szczecin,,,,,,,,,FALSE,
c_polokwane_city_006c1372,,Polokwane City,Polokwane City,,,,,,,,,FALSE,
c_port_fc_fe67c888,,Port FC,Port FC,,,,,,,,,FALSE,
c_port_vale_8b7668ca,,Port Vale,Port Vale,,,,,,,,,FALSE,
c_portland_timbers_8e92581e,,Portland Timbers,Portland Timbers,,,,,,,,,FALSE,
c_porto_09de765a,,Porto,Porto,,,,,,,,,FALSE,
c_portsmouth_0f979b99,,Portsmouth,Portsmouth,,,,,,,,,FALSE,
c_puerto_cabello_c8843033,,Puerto Cabello,Puerto Cabello,,,,,,,,,FALSE,
c_pumas_1ebc527b,,Pumas,Pumas,,,,,,,,,FALSE,
c_pumas_unam_e7fbb47a,,Pumas UNAM,Pumas UNAM,,,,,,,,,FALSE,
c_puskas_akademia_2653805d,,Puskas Akademia,Puskas Akademia,,,,,,,,,FALSE,
c_pyramids_7d59fa3f,,Pyramids,Pyramids,,,,,,,,,FALSE,
c_pyramids_fc_7ade8ddc,,Pyramids FC,Pyramids FC,,,,,,,,,FALSE,
c_qatar_sc_fd8bd006,,Qatar SC,Qatar SC,,,,,,,,,FALSE,
c_rb_leipzig_e10cc5a3,,RB Leipzig,RB Leipzig,,,,,,,,,FALSE,
c_rb_salzburg_64bce3ab,,RB Salzburg,RB Salzburg,,,,,,,,,FALSE,
c_rkc_waalwijk_6a7da517,,RKC Waalwijk,RKC Waalwijk,,,,,,,,,FALSE,
c_rs_berkane_416671b0,,RS Berkane,RS Berkane,,,,,,,,,FALSE,
c_racing_genk_584dd89f,,Racing Genk,Racing Genk,,,,,,,,,FALSE,
c_racing_santander_99beb36e,,Racing Santander,Racing Santander,,,,,,,,,FALSE,
c_raja_casablanca_f3222cae,,Raja Casablanca,Raja Casablanca,,,,,,,,,FALSE,
c_randers_fc_3128e118,,Randers FC,Randers FC,,,,,,,,,FALSE,
c_rangers_8ee581e0,,Rangers,Rangers,,,,,,,,,FALSE,
c_rayo_vallecano_bb03fdc6,,Rayo Vallecano,Rayo Vallecano,,,,,,,,,FALSE,
c_real_betis_c81a1b80,,Real Betis,Real Betis,,,,,,,,,FALSE,
c_real_madrid_abbd0333,,Real Madrid,Real Madrid,,,,,,,,,FALSE,
c_real_oviedo_11854497,,Real Oviedo,Real Oviedo,,,,,,,,,FALSE,
c_real_salt_lake_59b0db81,,Real Salt Lake,Real Salt Lake,,,,,,,,,FALSE,
c_real_sociedad_495967fa,,Real Sociedad,Real Sociedad,,,,,,,,,FALSE,
c_red_bull_bragantino_35c794b1,,Red Bull Bragantino,Red Bull Bragantino,,,,,,,,,FALSE,
c_red_star_belgrade_ff44e45e,,Red Star Belgrade,Red Star Belgrade,,,,,,,,,FALSE,
c_reims_580a1e88,,Reims,Reims,,,,,,,,,FALSE,
c_rennes_2c434c1a,,Rennes,Rennes,,,,,,,,,FALSE,
c_rijeka_f02178d7,,Rijeka,Rijeka,,,,,,,,,FALSE,
c_river_plate_6e5bb3c0,,River Plate,River Plate,,,,,,,,,FALSE,
c_rizespor_d9c5d82e,,Rizespor,Rizespor,,,,,,,,,FALSE,
c_roma_3090f438,,Roma,Roma,,,,,,,,,FALSE,
c_rosario_central_d0d1a866,,Rosario Central,Rosario Central,,,,,,,,,FALSE,
c_rostovv_302a24f4,,Rostovv,Rostovv,,,,,,,,,FALSE,
c_rotherham_united_58431265,,Rotherham United,Rotherham United,,,,,,,,,FALSE,
c_royale_union_saint_gilloise_0606b5f0,,Royale-Union Saint Gilloise,Royale-Union Saint Gilloise,,,,,,,,,FALSE,
c_sc_freiburg_9f1ecdb8,,SC Freiburg,SC Freiburg,,,,,,,,,FALSE,
c_sjk_4111de11,,SJK,SJK,,,,,,,,,FALSE,
c_sabah_53be0096,,Sabah,Sabah,,,,,,,,,FALSE,
c_saint_etienne_d88dbceb,,Saint-Étienne,Saint-Etienne,,,,,,,,,FALSE,
c_sampdoria_044fe5ce,,Sampdoria,Sampdoria,,,,,,,,,FALSE,
c_samsunspor_f4b482dc,,Samsunspor,Samsunspor,,,,,,,,,FALSE,
c_san_diego_fc_ee29e222,,San Diego FC,San Diego FC,,,,,,,,,FALSE,
c_san_lorenzo_e834d80a,,San Lorenzo,San Lorenzo,,,,,,,,,FALSE,
c_sanfrecce_hiroshima_aa29b48c,,Sanfrecce Hiroshima,Sanfrecce Hiroshima,,,,,,,,,FALSE,
c_santos_6c3780f0,,Santos,Santos,,,,,,,,,FALSE,
c_santos_laguna_ed9ddc90,,Santos Laguna,Santos Laguna,,,,,,,,,FALSE,
c_saprissa_cd3d610c,,Saprissa,Saprissa,,,,,,,,,FALSE,
c_sarpsborg_08_6a2fb396,,Sarpsborg 08,Sarpsborg 08,,,,,,,,,FALSE,
c_sassuolo_3722fef4,,Sassuolo,Sassuolo,,,,,,,,,FALSE,
c_schalke_04_aa80f339,,Schalke 04,Schalke 04,,,,,,,,,FALSE,
c_seattle_sounders_0333969a,,Seattle Sounders,Seattle Sounders,,,,,,,,,FALSE,
c_selangor_87052893,,Selangor,Selangor,,,,,,,,,FALSE,
c_sepahan_23598738,,Sepahan,Sepahan,,,,,,,,,FALSE,
c_servette_d3e58f94,,Servette,Servette,,,,,,,,,FALSE,
c_sevilla_199198e5,,Sevilla,Sevilla,,,,,,,,,FALSE,
c_shabab_al_ahli_7bfa5689,,Shabab Al-Ahli,Shabab Al-Ahli,,,,,,,,,FALSE,
c_shamrock_rovers_2cdea59c,,Shamrock Rovers,Shamrock Rovers,,,,,,,,,FALSE,
c_sharjah_dab7481c,,Sharjah,Sharjah,,,,,,,,,FALSE,
c_sheffield_united_03747276,,Sheffield United,Sheffield United,,,,,,,,,FALSE,
c_sigma_olomouc_9866567d,,Sigma Olomouc,Sigma Olomouc,,,,,,,,,FALSE,
c_silkeborg_if_f15d8622,,Silkeborg IF,Silkeborg IF,,,,,,,,,FALSE,
c_sint_truiden_eb30716d,,Sint-Truiden,Sint-Truiden,,,,,,,,,FALSE,
c_slaven_belupo_a67f2dfc,,Slaven Belupo,Slaven Belupo,,,,,,,,,FALSE,
c_slavia_prague_6def6306,,Slavia Prague,Slavia Prague,,,,,,,,,FALSE,
c_slovan_bratislava_8e855156,,Slovan Bratislava,Slovan Bratislava,,,,,,,,,FALSE,
c_slovan_liberec_d17c3872,,Slovan Liberec,Slovan Liberec,,,,,,,,,FALSE,
c_sochaux_ac407c94,,Sochaux,Sochaux,,,,,,,,,FALSE,
c_southampton_1d40f1fa,,Southampton,Southampton,,,,,,,,,FALSE,
c_sparta_prague_8236520c,,Sparta Prague,Sparta Prague,,,,,,,,,FALSE,
c_sparta_rotterdam_15c16fb0,,Sparta Rotterdam,Sparta Rotterdam,,,,,,,,,FALSE,
c_spartak_moscow_24492656,,Spartak Moscow,Spartak Moscow,,,,,,,,,FALSE,
c_sporting_cp_68d8c4d1,,Sporting CP,Sporting CP,,,,,,,,,FALSE,
c_sporting_lisbon_1fe809e1,,Sporting Lisbon,Sporting Lisbon,,,,,,,,,FALSE,
c_st_gallen_c9354c56,,St Gallen,St Gallen,,,,,,,,,FALSE,
c_st_patrick_s_athletic_b41b37bf,,St Patrick's Athletic,St Patrick's Athletic,,,,,,,,,FALSE,
c_st_pauli_35932192,,St Pauli,St Pauli,,,,,,,,,FALSE,
c_st_pauli_b81e5622,,St. Pauli,St. Pauli,,,,,,,,,FALSE,
c_stade_nyonnaise_d6f19ad2,,Stade Nyonnaise,Stade Nyonnaise,,,,,,,,,FALSE,
c_stade_rennais_c98241a9,,Stade Rennais,Stade Rennais,,,,,,,,,FALSE,
c_standard_liege_3e26b5d7,,Standard Liege,Standard Liege,,,,,,,,,FALSE,
c_stoke_city_320b8e5a,,Stoke City,Stoke City,,,,,,,,,FALSE,
c_strasbourg_ec14fe17,,Strasbourg,Strasbourg,,,,,,,,,FALSE,
c_strmsgodset_8b9d1286,,Strømsgodset,Strmsgodset,,,,,,,,,FALSE,
c_stuttgart_3e7544cc,,Stuttgart,Stuttgart,,,,,,,,,FALSE,
c_sunderland_4aa579a0,,Sunderland,Sunderland,,,,,,,,,FALSE,
c_surkhon_b0fc6235,,Surkhon,Surkhon,,,,,,,,,FALSE,
c_swansea_city_40d4171f,,Swansea City,Swansea City,,,,,,,,,FALSE,
c_sydney_fc_46493459,,Sydney FC,Sydney FC,,,,,,,,,FALSE,
c_sao_paulo_512a018c,,São Paulo,Sao Paulo,,,,,,,,,FALSE,
c_tsg_hoffenheim_7dd7fd83,,TSG Hoffenheim,TSG Hoffenheim,,,,,,,,,FALSE,
c_talleres_44a8f91d,,Talleres,Talleres,,,,,,,,,FALSE,
c_telstar_e85327be,,Telstar,Telstar,,,,,,,,,FALSE,
c_terengganu_3785b314,,Terengganu,Terengganu,,,,,,,,,FALSE,
c_tigres_0c053175,,Tigres,Tigres,,,,,,,,,FALSE,
c_tigres_uanl_6d3f0914,,Tigres UANL,Tigres UANL,,,,,,,,,FALSE,
c_tijuana_2510ee6e,,Tijuana,Tijuana,,,,,,,,,FALSE,
c_toluca_a5d0edbb,,Toluca,Toluca,,,,,,,,,FALSE,
c_tondela_897c0be8,,Tondela,Tondela,,,,,,,,,FALSE,
c_torino_3891b778,,Torino,Torino,,,,,,,,,FALSE,
c_toronto_fc_801d96b3,,Toronto FC,Toronto FC,,,,,,,,,FALSE,
c_torreense_d5f6f333,,Torreense,Torreense,,,,,,,,,FALSE,
c_tottehham_6d832957,,Tottehham,Tottehham,,,,,,,,,FALSE,
c_tottenham_a4c1f181,,Tottenham,Tottenham,,,,,,,,,FALSE,
c_tottenham_hotspur_ef01ee61,,Tottenham Hotspur,Tottenham Hotspur,,,,,,,,,FALSE,
c_toulouse_68472eee,,Toulouse,Toulouse,,,,,,,,,FALSE,
c_trabzonspor_15246eeb,,Trabzonspor,Trabzonspor,,,,,,,,,FALSE,
c_tractor_b739a166,,Tractor,Tractor,,,,,,,,,FALSE,
c_turan_tovuz_b1656aa6,,Turan Tovuz,Turan Tovuz,,,,,,,,,FALSE,
c_us_monastir_e0705e0c,,US Monastir,US Monastir,,,,,,,,,FALSE,
c_usm_alger_1a6b6d83,,USM Alger,USM Alger,,,,,,,,,FALSE,
c_udinese_e4d6ce7e,,Udinese,Udinese,,,,,,,,,FALSE,
c_ulsan_hd_cd5a3dd8,,Ulsan HD,Ulsan HD,,,,,,,,,FALSE,
c_union_berlin_3b0a5205,,Union Berlin,Union Berlin,,,,,,,,,FALSE,
c_union_st_gilloise_575f870b,,Union St-Gilloise,Union St-Gilloise,,,,,,,,,FALSE,
c_union_st_gilloise_b8dea71a,,Union St.-Gilloise,Union St.-Gilloise,,,,,,,,,FALSE,
c_universidad_catolica_f9dd891a,,Universidad Católica,Universidad Catolica,,,,,,,,,FALSE,
c_universidad_de_concepcion_56e01dcd,,Universidad de Concepción,Universidad de Concepcion,,,,,,,,,FALSE,
c_universitatea_cluj_3ac82d3c,,Universitatea Cluj,Universitatea Cluj,,,,,,,,,FALSE,
c_vvv_venlo_83a25ec0,,VVV Venlo,VVV Venlo,,,,,,,,,FALSE,
c_valencia_b00a061d,,Valencia,Valencia,,,,,,,,,FALSE,
c_vancouver_whitecaps_584ec8d5,,Vancouver Whitecaps,Vancouver Whitecaps,,,,,,,,,FALSE,
c_vasco_da_gama_ebb987d1,,Vasco da Gama,Vasco da Gama,,,,,,,,,FALSE,
c_venezia_e31ee20d,,Venezia,Venezia,,,,,,,,,FALSE,
c_verona_28485fcd,,Verona,Verona,,,,,,,,,FALSE,
c_vfb_stuttgart_79e41bee,,VfB Stuttgart,VfB Stuttgart,,,,,,,,,FALSE,
c_vfl_wolfsburg_6bff9162,,VfL Wolfsburg,VfL Wolfsburg,,,,,,,,,FALSE,
c_viking_26af2e99,,Viking,Viking,,,,,,,,,FALSE,
c_viking_fk_ff9c46f0,,Viking FK,Viking FK,,,,,,,,,FALSE,
c_viktoria_plzen_c3cb1557,,Viktoria Plzen,Viktoria Plzen,,,,,,,,,FALSE,
c_villarreal_edfbe376,,Villarreal,Villarreal,,,,,,,,,FALSE,
c_violette_080fcd22,,Violette,Violette,,,,,,,,,FALSE,
c_vitoria_guimaraes_bdab72bf,,Vitoria Guimaraes,Vitoria Guimaraes,,,,,,,,,FALSE,
c_vizela_63e8bfe2,,Vizela,Vizela,,,,,,,,,FALSE,
c_volendam_44039ff3,,Volendam,Volendam,,,,,,,,,FALSE,
c_velez_sarsfield_1118a976,,Vélez Sarsfield,Velez Sarsfield,,,,,,,,,FALSE,
c_watford_149fe9eb,,Watford,Watford,,,,,,,,,FALSE,
c_wellington_phoenix_dcacb02d,,Wellington Phoenix,Wellington Phoenix,,,,,,,,,FALSE,
c_werder_bremen_a11ab9ed,,Werder Bremen,Werder Bremen,,,,,,,,,FALSE,
c_west_ham_88fd71ee,,West Ham,West Ham,,,,,,,,,FALSE,
c_west_ham_united_0b178664,,West Ham United,West Ham United,,,,,,,,,FALSE,
c_western_sydney_wanderers_ad68f75f,,Western Sydney Wanderers,Western Sydney Wanderers,,,,,,,,,FALSE,
c_widzew_odz_934a5145,,Widzew Łódź,Widzew odz,,,,,,,,,FALSE,
c_wolfsberger_ac_ca70d247,,Wolfsberger AC,Wolfsberger AC,,,,,,,,,FALSE,
c_wolfsburg_3d0f829f,,Wolfsburg,Wolfsburg,,,,,,,,,FALSE,
c_wolverhampton_cf275480,,Wolverhampton,Wolverhampton,,,,,,,,,FALSE,
c_wolverhampton_wanderers_1e3d8f9f,,Wolverhampton Wanderers,Wolverhampton Wanderers,,,,,,,,,FALSE,
c_wrexham_5a7883b4,,Wrexham,Wrexham,,,,,,,,,FALSE,
c_young_boys_d33c77d6,,Young Boys,Young Boys,,,,,,,,,FALSE,
c_zamalek_b40573d7,,Zamalek,Zamalek,,,,,,,,,FALSE,
c_zed_2700337e,,Zed,Zed,,,,,,,,,FALSE,
c_zenit_st_petersburg_0976e8e0,,Zenit St. Petersburg,Zenit St. Petersburg,,,,,,,,,FALSE,
c_zhejiang_fc_d944dab0,,Zhejiang FC,Zhejiang FC,,,,,,,,,FALSE,
c_zulte_waregem_051e6315,,Zulte Waregem,Zulte Waregem,,,,,,,,,FALSE,
c_zurich_d276e926,,Zurich,Zurich,,,,,,,,,FALSE,
c_etoile_du_sahel_57c67bcf,,Étoile du Sahel,Etoile du Sahel,,,,,,,,,FALSE,
