rank,player_name,team_code,position,goals,assists,minutes_played
617,Braian Ojeda,PAR,MF,0,0,28
618,Sondre Langas,NOR,DF,0,0,29
619,Kevin Yakob,IRQ,MF,0,0,29
620,Mehdi Torabi,IRN,MF,0,0,29
621,Marco Friedl,AUT,DF,0,0,30
625,Awer Mabil,AUS,FW,0,0,31
626,Luis Chavez,MEX,MF,0,0,31
627,Mohamed Amoura,ALG,FW,0,0,31
628,Duckens Nazon,HAI,FW,0,0,31
629,Francis De Vries,NZL,DF,0,0,32
630,Francisco Trincao,POR,FW,0,0,32
631,Justin Kluivert,NED,MF,0,0,32
633,Youssef Amyn,IRQ,MF,0,0,32
634,Maximilian Beier,GER,FW,0,0,33
637,Tete Yengi,AUS,FW,0,0,33
638,Ayoube Amaimouni,MAR,FW,0,0,33
639,Samed Bazdar,BIH,FW,0,0,35
640,Guus Til,NED,MF,0,0,36
641,Bara Sapoko Ndiaye,SEN,MF,0,0,36
642,Jackson Porozo,ECU,DF,0,0,36
643,Joaquin Seys,BEL,DF,0,0,36
644,Jamie Leweling,GER,MF,0,0,37
645,Jean Philippe Mateta,FRA,FW,0,0,38
646,Ederson Silva,BRA,MF,0,0,38
647,Zineddine Belaid,ALG,DF,0,0,38
649,Ali Yousif,IRQ,FW,0,0,38
650,Luiz Henrique,BRA,FW,0,0,38
651,Ahmed Maknazi,IRQ,DF,0,0,38
652,Dan Burn,ENG,DF,0,0,39
653,Eray Coemert,SUI,DF,0,0,39
654,Patrick Wimmer,AUT,FW,0,0,39
655,Jordy Caicedo,ECU,FW,0,0,40
656,Oumar Diakite,CIV,FW,0,0,40
657,Ahmed Alganehi,QAT,MF,0,0,41
658,Alhashmi Alhussein,QAT,DF,0,0,41
659,Alexander Prass,AUT,MF,0,0,41
661,Cho Guesung,KOR,FW,0,0,41
663,Rebin Sulaka,IRQ,DF,0,0,41
665,Ali Alipour,IRN,FW,0,0,42
666,Axel Witsel,BEL,MF,0,0,42
667,Jorrel Hato,NED,DF,0,0,43
668,Tomas Chory,CZE,FW,0,0,43
669,Saleem Obaid,JOR,DF,0,0,43
670,Ala Alhajji,KSA,MF,0,0,43
671,Park Jinseob,KOR,DF,0,0,44
672,Nick Woltemade,GER,FW,0,0,44
673,Gervane Kastaneer,CUW,FW,0,0,45
674,Charles Pickel,COD,MF,0,0,45
676,Orbelin Pineda,MEX,MF,0,0,45
677,Taha Ali,SWE,FW,0,0,46
678,Igor Sergeev,UZB,FW,0,0,46
680,Theo Bongonda,COD,MF,0,0,47
681,Malo Gusto,FRA,DF,0,0,48
682,Roger Ibanez,BRA,DF,0,0,49
683,Dylan Bronn,TUN,DF,0,0,49
684,Simon Banza,COD,FW,0,0,49
685,Lyndon Dykes,SCO,FW,0,0,49
686,Matias Vina,URU,DF,0,0,49
687,Jordy Alcivar,ECU,MF,0,0,49
688,Morten Thorsby,NOR,MF,0,0,50
689,Sontje Hansen,CUW,FW,0,0,50
690,Fredrik Andre Bjorkan,NOR,DF,0,0,50
691,Malick Thiaw,GER,DF,0,0,50
692,Mehdi Ghayedi,IRN,FW,0,0,50
694,Deniz Gul,TUR,FW,0,0,50
695,Jearl Margaritha,CUW,FW,0,0,50
696,Castrop Jens,KOR,DF,0,0,51
698,Abdulaziz Hatem,QAT,MF,0,0,51
699,Arya Yousefi,IRN,DF,0,0,51
700,Sergio Rochet,URU,GK,0,0,51
701,Angelo Stiller,GER,MF,0,0,52
702,Ismael Diaz,PAN,MF,0,0,52
703,Mohamed Hadj Mahmoud,TUN,MF,0,0,52
704,Tomas Rodriguez,PAN,FW,0,0,53
705,Eom Jisung,KOR,MF,0,0,53
706,Yaimar Medina,ECU,DF,0,0,53
707,Isidro Pitta,PAR,FW,0,0,55
708,Can Uzun,TUR,FW,0,0,55
709,Ahmed Alaaeldin,QAT,FW,0,0,55
710,Farrukh Sayfiev,UZB,DF,0,0,55
711,Matias Fernandez Pardo,BEL,FW,0,0,57
712,Junnosuke Suzuki,JPN,DF,0,0,58
713,Wout Weghorst,NED,FW,0,0,58
714,Vladimir Darida,CZE,MF,0,0,58
715,Alireza Jahanbakhsh,IRN,MF,0,0,58
716,Elias Achouri,TUN,FW,0,0,58
717,Denis Visinsky,CZE,FW,0,0,59
718,Alan Minda,ECU,MF,0,0,59
719,Lyle Foster,RSA,FW,0,0,59
720,Kojo Peprah Oppong,GHA,DF,0,0,61
721,Mathieu Choiniere,CAN,MF,0,0,61
722,Brian Rodriguez,URU,FW,0,0,61
723,Cedric Itten,SUI,FW,0,0,62
724,Prince Adu,GHA,FW,0,0,62
725,Marko Farji,IRQ,FW,0,0,62
726,Kim Jingyu,KOR,MF,0,0,64
727,Alex Arce,PAR,FW,0,0,64
728,Igor Thiago,BRA,FW,0,0,65
729,Firas Chaouat,TUN,FW,0,0,66
730,Waldemar Anton,GER,DF,0,0,66
731,Mathew Leckie,AUS,FW,0,0,67
732,Dominique Simon,HAI,MF,0,0,68
733,Quinten Timber,NED,MF,0,0,68
734,Besfort Zeneli,SWE,MF,0,0,69
735,Alexandro Maidana,PAR,DF,0,0,69
736,Joris Kayembe,COD,DF,0,0,69
737,Telmo Arcanjo,CPV,MF,0,0,69
739,Sultan Mandash,KSA,FW,0,0,71
740,Henrik Falchener,NOR,DF,0,0,71
741,Luka Vuskovic,CRO,DF,0,0,71
744,Danilo Santos,BRA,MF,0,0,73
745,Hossam Abdelmaguid,EGY,DF,0,0,73
746,Kim Moonhwan,KOR,DF,0,0,74
747,Ayoub El Kaabi,MAR,FW,0,0,74
748,Mohammad Abualnadi,JOR,DF,0,0,75
749,Kristian Thorstvedt,NOR,MF,0,0,75
750,Jason Geria,AUS,DF,0,0,75
751,Giuliano Simeone,ARG,FW,0,0,75
753,Oston Urunov,UZB,MF,0,0,75
754,Ruben Neves,POR,MF,0,0,76
755,Azarias Londono,PAN,FW,0,0,76
756,Diego Moreira,BEL,MF,0,0,76
757,Ali Azaizeh,JOR,FW,0,0,78
758,Diogo Dalot,POR,DF,0,0,78
759,Aaron Hickey,SCO,DF,0,0,79
760,Jesse Randall,NZL,FW,0,0,79
762,Kai Trewin,AUS,DF,0,0,81
763,Nico Paz,ARG,FW,0,0,81
764,Andrej Kramaric,CRO,FW,0,0,81
765,Brenden Aaronson,USA,FW,0,0,82
766,Hamza Abdelkarim,EGY,FW,0,0,83
767,Yeremy Pino,ESP,FW,0,0,83
768,Zizo,EGY,FW,0,0,84
769,Nico Williams,ESP,FW,0,0,84
770,Jeremy Antonisse,CUW,FW,0,0,85
772,Gavi,ESP,MF,0,0,85
773,Cecilio Waterman,PAN,FW,0,0,85
774,Obed Vargas,MEX,MF,0,0,85
778,Ardon Jashari,SUI,MF,0,0,87
779,Guillermo Martinez,MEX,FW,0,0,87
780,Nishan Velupillay,AUS,FW,0,0,88
782,Abdullah Alhamddan,KSA,FW,0,0,88
783,Munaf Younus,IRQ,DF,0,0,89
784,Luca Jaquez,SUI,DF,0,0,89
785,Santiago Arias,COL,DF,0,0,89
786,Timothy Weah,USA,FW,0,0,90
788,Garry Rodrigues,CPV,MF,0,0,90
789,Jorge Gutierrez,PAN,DF,0,0,90
790,Ajdin Hrustic,AUS,FW,0,0,90
791,Odiljon Xamrobekov,UZB,MF,0,0,90
792,Mohamed Manai,QAT,FW,0,0,91
793,Alidu Seidu,GHA,DF,0,0,92
794,Gilson Benchimol,CPV,FW,0,0,93
797,Bazoumana Toure,CIV,FW,0,0,94
798,Rayan Cherki,FRA,MF,0,0,94
799,Pape Matar Sarr,SEN,MF,0,0,94
800,Antonio Sanabria,PAR,FW,0,0,95
801,Fabinho,BRA,MF,0,0,95
802,Armin Gigovic,BIH,MF,0,0,95
804,Oguz Aydin,TUR,FW,0,0,97
805,Ayumu Seko,JPN,DF,0,0,97
806,Sebastian Tounekti,TUN,MF,0,0,98
807,Fidel Escobar,PAN,DF,0,0,98
808,Deiver Machado,COL,DF,0,0,99
809,Wagner Pina,CPV,DF,0,0,99
810,Stepan Chaloupek,CZE,DF,0,0,99
811,Tsuyoshi Watanabe,JPN,DF,0,0,99
812,David Doudera,CZE,DF,0,0,100
813,Exequiel Palacios,ARG,MF,0,0,100
813,Marcos Senesi,ARG,DF,0,0,100
816,Maxence Lacroix,FRA,DF,0,0,100
816,Egil Selvik,NOR,GK,0,0,100
818,Ousmane Diomande,CIV,DF,0,0,100
818,Christopher Operi,CIV,DF,0,0,100
820,Riechedly Bazoer,CUW,DF,0,0,100
821,Tomas Araujo,POR,DF,0,0,100
822,Mouhib Chamakh,TUN,GK,0,0,100
823,Joe Scally,USA,DF,0,0,100
824,Pervis Estupinan,ECU,DF,0,0,100
825,Oussama Benbot,ALG,GK,0,0,100
826,Nkosinathi Sibisi,RSA,DF,0,0,101
827,Zeki Amdouni,SUI,FW,0,0,101
828,Florian Grillitsch,AUT,MF,0,0,102
829,Scott Mckenna,SCO,DF,0,0,102
830,Yunus Akgun,TUR,FW,0,0,103
831,Seko Fofana,CIV,MF,0,0,103
832,Ryan Thomas,NZL,MF,0,0,103
833,Ehsan Hajisafi,IRN,DF,0,0,104
834,Mohammad Ghorbani,IRN,MF,0,0,104
835,Nawaf Bu Washl,KSA,DF,0,0,104
836,Ozan Kabak,TUR,DF,0,0,104
836,Mark Mckenzie,USA,DF,0,0,104
836,Miles Robinson,USA,DF,0,0,104
836,Matt Turner,USA,GK,0,0,104
840,Frans Putros,IRQ,DF,0,0,105
841,Utkir Yusupov,UZB,GK,0,0,105
842,Yusuf Abdurisag,QAT,FW,0,0,105
843,Saleh Hardani,IRN,DF,0,0,107
844,Carney Chukwuemeka,AUT,MF,0,0,108
845,Shahriyar Moghanloo,IRN,FW,0,0,108
846,Jhon Cordoba,COL,FW,0,0,108
847,Jakhongir Urozov,UZB,DF,0,0,112
848,Ben Old,NZL,MF,0,0,112
849,Karim Boudiaf,QAT,MF,0,0,114
850,Ryan Christie,SCO,MF,0,0,114
851,Daniel Svensson,SWE,DF,0,0,114
852,Anis Hadj Moussa,ALG,FW,0,0,114
853,Marco Pasalic,CRO,FW,0,0,114
854,Miro Muheim,SUI,DF,0,0,115
855,Kieran Tierney,SCO,DF,0,0,115
856,Nicolas De La Cruz,URU,MF,0,0,115
857,Gustavo Caballero,PAR,MF,0,0,117
858,Jorgen Strand Larsen,NOR,FW,0,0,117
859,Santiago Gimenez,MEX,FW,0,0,117
860,Jordan Henderson,ENG,MF,0,0,119
861,Tyler Bindon,NZL,DF,0,0,120
862,Lee Taeseok,KOR,DF,0,0,120
863,Salih Ozcan,TUR,MF,0,0,120
864,Dostonbek Khamdamov,UZB,MF,0,0,120
865,Joao Paulo,CPV,MF,0,0,121
866,Samir El Mourabet,MAR,MF,0,0,121
867,Jarell Quansah,ENG,DF,0,0,121
868,Leon Goretzka,GER,MF,0,0,122
869,Hwang Heechan,KOR,MF,0,0,123
870,David Raum,GER,DF,0,0,123
871,Elias Saad,TUN,FW,0,0,124
872,Jaouen Hadjam,ALG,DF,0,0,125
873,Lee Jaesung,KOR,MF,0,0,125
874,Igor Matanovic,CRO,FW,0,0,125
875,Jacob Shaffelburg,CAN,MF,0,0,126
876,Ramiz Zerrouki,ALG,MF,0,0,126
877,Zaid Ismael,IRQ,MF,0,0,126
878,Amadou Onana,BEL,MF,0,0,127
879,Elye Wahi,CIV,FW,0,0,127
880,Louicius Deedson,HAI,FW,0,0,129
881,Jayden Adams,RSA,MF,0,0,130
882,Mert Muldur,TUR,DF,0,0,132
883,Bernardo Silva,POR,MF,0,0,133
884,Eren Elmali,TUR,DF,0,0,134
885,Homam Ahmed,QAT,DF,0,0,134
886,Lenny Joseph,HAI,FW,0,0,134
887,Ahmed Qasem,IRQ,FW,0,0,135
888,Kamaldeen Sulemana,GHA,FW,0,0,136
889,Angelo Preciado,ECU,DF,0,0,137
890,Lukas Provod,CZE,MF,0,0,137
891,Inaki Williams,GHA,FW,0,0,140
892,Assim Madibo,QAT,MF,0,0,140
893,Azizjon Ganiev,UZB,MF,0,0,140
894,Ismael Gharbi,TUN,MF,0,0,142
895,Jaroslav Zeleny,CZE,DF,0,0,142
896,Hicham Boudaoui,ALG,MF,0,0,143
897,Raphinha,BRA,FW,0,0,143
898,Kerem Akturkoglu,TUR,FW,0,0,143
899,Kenny Mclean,SCO,MF,0,0,144
900,Ali Jasim,IRQ,FW,0,0,144
901,Teun Koopmeiners,NED,MF,0,0,145
902,Endrick,BRA,FW,0,0,146
903,Jesper Karlstrom,SWE,MF,0,0,147
904,Niko Sigur,CAN,DF,0,0,147
905,Jovane Cabral,CPV,MF,0,0,148
906,Ahmed Basil,IRQ,GK,0,0,149
907,Benjamin Nygren,SWE,MF,0,0,149
908,Cameron Burgess,AUS,DF,0,0,152
909,Tomas Soucek,CZE,MF,0,0,152
910,Mahmoud Almardi,JOR,FW,0,0,152
911,Ismail Yuksek,TUR,MF,0,0,153
912,Mohammed Abu Alshamat,KSA,DF,0,0,153
913,Hossein Kanani,IRN,DF,0,0,154
914,Jalal Hassan,IRQ,GK,0,0,154
915,Lawrence Ati Zigi,GHA,GK,0,0,155
916,Khojiakbar Alijonov,UZB,DF,0,0,155
917,Willy Semedo,CPV,MF,0,0,156
918,Mario Pasalic,CRO,MF,0,0,158
919,Che Adams,SCO,FW,0,0,160
920,Phillip Mwene,AUT,DF,0,0,160
921,Ismael Kone,CAN,MF,0,0,160
922,Rani Khedira,TUN,MF,0,0,162
923,Abdul Fatawu,GHA,FW,0,0,163
924,Ahmed Fathy,QAT,MF,0,0,163
925,Nathanael Mbuku,COD,MF,0,0,163
926,Francisco Conceicao,POR,FW,0,0,163
927,Odeh Fakhoury,JOR,FW,0,0,163
928,Nelson Semedo,POR,DF,0,0,164
929,Eberechi Eze,ENG,MF,0,0,164
930,Zaid Tahseen,IRQ,DF,0,0,165
931,Elisha Owusu,GHA,MF,0,0,166
932,Jassem Gaber,QAT,DF,0,0,166
933,Sultan Albrake,QAT,DF,0,0,167
934,Musab Aljuwayr,KSA,MF,0,0,167
935,Frantzdy Pierrot,HAI,FW,0,0,168
936,Tomas Holes,CZE,DF,0,0,169
937,Gabriel Avalos,PAR,FW,0,0,170
938,Ayoub Aloui,QAT,DF,0,0,170
939,Carlens Arcus,HAI,DF,0,0,171
940,Adam Hlozek,CZE,FW,0,0,172
941,Lukas Cerv,CZE,MF,0,0,172
942,Edouard Mendy,SEN,GK,0,0,172
943,Zeki Celik,TUR,DF,0,0,173
944,Callum Mccowatt,NZL,MF,0,0,173
945,Hussein Ali,IRQ,DF,0,0,174
946,Sofyan Amrabat,MAR,MF,0,0,175
947,Richard Rios,COL,MF,0,0,175
948,Jose Fajardo,PAN,FW,0,0,176
949,Liam Millar,CAN,MF,0,0,176
950,Michel Aebischer,SUI,MF,0,0,176
951,Edo Kayembe,COD,MF,0,0,177
952,Josko Gvardiol,CRO,DF,0,0,177
953,Ali Lajami,KSA,DF,0,0,177
954,Ferdi Kadioglu,TUR,DF,0,0,179
955,Cristian Volpato,AUS,FW,0,0,180
956,Jurien Gaari,CUW,DF,0,0,180
957,Nuno Da Costa,CPV,MF,0,0,180
958,Kalidou Koulibaly,SEN,DF,0,0,181
959,Yukinari Sugawara,JPN,DF,0,0,181
960,Nicolas Otamendi,ARG,DF,0,0,182
961,Iqraam Rayners,RSA,FW,0,0,182
962,Darwin Nunez,URU,FW,0,0,182
963,Mohamed Toure,AUS,FW,0,0,182
964,Jacob Italiano,AUS,DF,0,0,183
965,Elliot Stroud,SWE,DF,0,0,183
966,Lawrence Shankland,SCO,FW,0,0,183
967,Son Heungmin,KOR,FW,0,0,183
968,Relebohile Mofokeng,RSA,FW,0,0,184
969,Jiovany Ramos,PAN,DF,0,0,186
970,Cesar Blackman,PAN,DF,0,0,187
971,Laros Duarte,CPV,MF,0,0,187
972,Nathan Ake,NED,DF,0,0,189
973,Husam Abudahab,JOR,DF,0,0,190
974,Joshua Brenet,CUW,DF,0,0,193
975,Dodi Lukebakio,BEL,FW,0,0,194
976,Edin Dzeko,BIH,FW,0,0,196
977,Donyell Malen,NED,FW,0,0,197
978,Manuel Ugarte,URU,MF,0,0,197
979,Aymen Dahmen,TUN,GK,0,0,198
980,Jose Canale,PAR,DF,0,0,198
981,Dailon Livramento,CPV,FW,0,0,198
982,Patrik Schick,CZE,FW,0,0,199
983,Jacob Widell Zetterstrom,SWE,GK,0,0,200
984,Kristoffer Nordfeldt,SWE,GK,0,0,200
985,Ali Alhamadi,IRQ,FW,0,0,201
986,Steve Kapuadi,COD,DF,0,0,201
987,El Hadji Malick Diouf,SEN,DF,0,0,202
988,Behruzjon Karimov,UZB,DF,0,0,203
989,Abdullah Alkhaibari,KSA,MF,0,0,203
990,Morgan Rogers,ENG,MF,0,0,203
991,Grant Hanley,SCO,DF,0,0,203
992,Nathan Patterson,SCO,DF,0,0,204
993,Ben Gannon Doak,SCO,FW,0,0,204
994,Sherzod Nasrullaev,UZB,DF,0,0,206
995,Abduvohid Nematov,UZB,GK,0,0,206
996,Abdulla Abdullaev,UZB,DF,0,0,206
997,Philipp Lienhart,AUT,DF,0,0,207
998,Takehiro Tomiyasu,JPN,DF,0,0,208
999,Redouane Halhal,MAR,DF,0,0,208
1000,Josue Casimir,HAI,FW,0,0,208
1001,Hakan Calhanoglu,TUR,MF,0,0,208
1001,Merih Demiral,TUR,DF,0,0,208
1003,Pavel Sulc,CZE,FW,0,0,209
1004,Zidane Iqbal,IRQ,MF,0,0,210
1005,Cedric Bakambu,COD,FW,0,0,210
1006,Silvan Widmer,SUI,DF,0,0,210
1007,Stjepan Radeljic,BIH,DF,0,0,211
1008,Federico Vinas,URU,FW,0,0,211
1009,Moteb Alharbi,KSA,DF,0,0,213
1010,Paik Seungho,KOR,MF,0,0,216
1011,Damian Bobadilla,PAR,MF,0,0,216
1012,Joao Felix,POR,FW,0,0,218
1013,Ngalayel Mukau,COD,MF,0,0,220
1014,Moise Bombito,CAN,DF,0,0,221
1015,Ivan Sunjic,BIH,MF,0,0,221
1016,Mohamed Amine Ben Hmida,TUN,DF,0,0,221
1017,Theo Hernandez,FRA,DF,0,0,222
1018,Ao Tanaka,JPN,MF,0,0,225
1019,Brian Gutierrez,MEX,MF,0,0,226
1020,Sarpreet Singh,NZL,MF,0,0,227
1021,Saman Ghoddos,IRN,MF,0,0,228
1022,Nasser Aldawsari,KSA,MF,0,0,230
1023,Pathe Ciss,SEN,MF,0,0,232
1024,Lucas Herrington,AUS,DF,0,0,232
1025,Alexander Bernhardsson,SWE,DF,0,0,233
1026,Milad Mohammadi,IRN,DF,0,0,235
1027,Gilberto Mora,MEX,MF,0,0,236
1028,Michael Boxall,NZL,DF,0,0,237
1029,Ruben Providence,HAI,FW,0,0,237
1030,Israel Reyes,MEX,DF,0,0,237
1031,Juan Manuel Sanabria,URU,MF,0,0,237
1032,Liberato Cacace,NZL,DF,0,0,237
1033,Isak Hien,SWE,DF,0,0,237
1034,Hassan Altambakti,KSA,DF,0,0,237
1035,Anass Salah Eddine,MAR,DF,0,0,240
1036,Christ Inao Oulai,CIV,MF,0,0,240
1037,Evidence Makgopa,RSA,FW,0,0,241
1038,Aziz Behich,AUS,DF,0,0,245
1039,Ricardo Pepi,USA,FW,0,0,247
1040,Julian Ryerson,NOR,FW,0,0,248
1041,Kenan Yildiz,TUR,FW,0,0,249
1042,Juergen Locadia,CUW,FW,0,0,250
1043,Jose Luis Rodriguez,PAN,MF,0,0,251
1044,Sphephelo Sithole,RSA,MF,0,0,252
1045,Joel Ordonez,ECU,DF,0,0,253
1046,Amar Memic,BIH,MF,0,0,254
1047,Jackson Irvine,AUS,MF,0,0,255
1048,Andy Robertson,SCO,DF,0,0,255
1049,Mohamed Kanno,KSA,MF,0,0,256
1050,Ismail Jakobs,SEN,DF,0,0,257
1051,Jonas Adjetey,GHA,DF,0,0,257
1052,Anis Slimane,TUN,MF,0,0,257
1053,Ali Ahmed,CAN,FW,0,0,258
1054,Ange Yoan Bonny,CIV,FW,0,0,258
1055,Benjamin Asare,GHA,GK,0,0,259
1056,Ibrahim Bayesh,IRQ,MF,0,0,259
1057,Deveron Fonville,CUW,DF,0,0,260
1058,Hamdy Fathy,EGY,MF,0,0,260
1059,Fernando Muslera,URU,GK,0,0,261
1060,Feras Albrikan,KSA,FW,0,0,262
1061,Esmir Bajraktarevic,BIH,FW,0,0,262
1062,Cristian Martinez,PAN,MF,0,0,264
1063,Benjamin Tahirovic,BIH,MF,0,0,266
1064,Tahith Chong,CUW,MF,0,0,267
1065,Shogo Taniguchi,JPN,DF,0,0,267
1066,Ellyes Skhiri,TUN,MF,0,0,267
1067,Reece James,ENG,DF,0,0,267
1068,Thiago Almada,ARG,FW,0,0,267
1069,Otabek Shukurov,UZB,MF,0,0,268
1070,Arthur Theate,BEL,DF,0,0,268
1071,Kim Minjae,KOR,DF,0,0,268
1072,Akram Afif,QAT,FW,0,0,269
1073,Alan Franco,ECU,MF,0,0,270
1074,Paul Wanner,AUT,MF,0,0,270
1075,Edgar Yoel Barcenas,PAN,MF,0,0,272
1076,Federico Valverde,URU,MF,0,0,272
1077,Yan Valery,TUN,DF,0,0,274
1078,Djed Spence,ENG,DF,0,0,274
1079,Seol Youngwoo,KOR,DF,0,0,274
1080,Joe Bell,NZL,MF,0,0,275
1081,Salem Aldawsari,KSA,FW,0,0,276
1082,Djibril Sow,SUI,MF,0,0,276
1083,Edson Alvarez,MEX,DF,0,0,278
1084,Oscar Bobb,NOR,MF,0,0,279
1085,Juninho Bacuna,CUW,MF,0,0,280
1086,John Stones,ENG,DF,0,0,281
1087,Kwasi Sibo,GHA,MF,0,0,282
1088,Kevin Danso,AUT,DF,0,0,284
1089,Abdallah Nasib,JOR,DF,0,0,287
1090,Mory Diaw,SEN,GK,0,0,287
1091,Oswin Appollis,RSA,FW,0,0,287
1092,Rustam Ashurmatov,UZB,DF,0,0,288
1093,Danley Jean Jacques,HAI,MF,0,0,288
1094,Tani Oluwaseyi,CAN,FW,0,0,288
1095,Micky Van De Ven,NED,DF,0,0,291
1096,Jean Ricner Bellegarde,HAI,MF,0,0,292
1097,Tarik Muharemovic,BIH,DF,0,0,292
1098,Ali Abdi,TUN,DF,0,0,293
1099,Mehdi Taremi,IRN,FW,0,0,293
1100,Gustavo Velazquez,PAR,DF,0,0,293
1101,Thalente Mbatha,RSA,MF,0,0,293
1102,Carlos Harvey,PAN,DF,0,0,295
1103,Mohannad Abutaha,JOR,MF,0,0,296
1104,Noah Sadiki,COD,MF,0,0,297
1105,Saeid Ezatolahi,IRN,MF,0,0,298
1106,Montassar Talbi,TUN,DF,0,0,298
1107,Kim Seunggyu,KOR,GK,0,0,300
1107,Lee Hanbeom,KOR,DF,0,0,300
1107,Lee Gihyuk,KOR,MF,0,0,300
1110,Aleksandar Pavlovic,GER,MF,0,0,300
1111,Abdulkerim Bardakci,TUR,DF,0,0,300
1112,Leandro Bacuna,CUW,MF,0,0,300
1112,Sherel Floranus,CUW,DF,0,0,300
1112,Armando Obispo,CUW,DF,0,0,300
1112,Eloy Room,CUW,GK,0,0,300
1116,Saud Abdulhamid,KSA,DF,0,0,300
1117,Antonio Ruediger,GER,DF,0,0,300
1118,Robin Hranac,CZE,DF,0,0,301
1118,Matej Kovar,CZE,GK,0,0,301
1120,Ahmed Fatouh,EGY,DF,0,0,301
1121,Luca Zidane,ALG,GK,0,0,302
1122,Marko Stamenic,NZL,MF,0,0,302
1123,Ghislain Konan,CIV,DF,0,0,303
1124,Andres Andrade,PAN,DF,0,0,303
1124,Jose Cordoba,PAN,DF,0,0,303
1124,Orlando Mosquera,PAN,GK,0,0,303
1124,Amir Murillo,PAN,DF,0,0,303
1128,Akam Hashim,IRQ,DF,0,0,303
1128,Merchas Doski,IRQ,DF,0,0,303
1130,Miguel Almiron,PAR,MF,0,0,306
1131,Mohammed Alowais,KSA,GK,0,0,306
1132,Max Crocombe,NZL,GK,0,0,306
1133,Lewis Ferguson,SCO,MF,0,0,306
1133,Angus Gunn,SCO,GK,0,0,306
1133,Jack Hendry,SCO,DF,0,0,306
1133,Scott Mctominay,SCO,MF,0,0,306
1137,Ricardo Ade,HAI,DF,0,0,306
1137,Hannes Delcroix,HAI,DF,0,0,306
1137,Martin Experience,HAI,DF,0,0,306
1137,Johny Placide,HAI,GK,0,0,306
1141,Thomas Partey,GHA,MF,0,0,307
1142,Emmanuel Agbadou,CIV,DF,0,0,308
1143,Yazeed Abulaila,JOR,GK,0,0,309
1143,Yazan Alarab,JOR,DF,0,0,309
1145,Shoja Khalilzadeh,IRN,DF,0,0,309
1145,Ali Nemati,IRN,DF,0,0,309
1145,Alireza Beiranvand,IRN,GK,0,0,309
1148,Mahmoud Abunada,QAT,GK,0,0,310
1148,Pedro Miguel,QAT,DF,0,0,310
1148,Boualem Khoukhi,QAT,DF,0,0,310
1148,Issa Laye,QAT,DF,0,0,310
1152,Amar Dedic,BIH,DF,0,0,310
1153,Guela Doue,CIV,DF,0,0,311
1154,Marin Pongracic,CRO,DF,0,0,311
1155,Enner Valencia,ECU,FW,0,0,311
1156,Abdukodir Khusanov,UZB,DF,0,0,311
1157,Marvin Senaya,GHA,DF,0,0,312
1158,Rodrigo Bentancur,URU,MF,0,0,313
1158,Sebastian Caceres,URU,DF,0,0,313
1158,Mathias Olivera,URU,DF,0,0,313
1158,Guillermo Varela,URU,DF,0,0,313
1162,Nabil Bentaleb,ALG,MF,0,0,313
1163,Ugurcan Cakir,TUR,GK,0,0,313
1164,Jerome Opoku,GHA,DF,0,0,313
1165,Jamiro Monteiro,CPV,MF,0,0,314
1166,Noni Madueke,ENG,FW,0,0,315
1167,Rayan Ait Nouri,ALG,DF,0,0,315
1168,Odilon Kossounou,CIV,DF,0,0,316
1169,Nicolas Tagliafico,ARG,DF,0,0,319
1170,Jordan Ayew,GHA,FW,0,0,323
1171,John Yeboah,ECU,FW,0,0,330
1172,Diego Gomez,PAR,MF,0,0,332
1173,Fabian Rieder,SUI,MF,0,0,332
1174,Sergino Dest,USA,DF,0,0,335
1175,James Rodriguez,COL,MF,0,0,338
1176,Jeremy Doku,BEL,FW,0,0,341
1177,Jordan Bos,AUS,DF,0,0,343
1178,Steven Moreira,CPV,DF,0,0,346
1179,Cesar Montes,MEX,DF,0,0,349
1180,Derek Cornelius,CAN,DF,0,0,351
1181,Nikola Katic,BIH,DF,0,0,353
1182,Fredrik Aursnes,NOR,MF,0,0,355
1183,Gabriel Gudmundsson,SWE,DF,0,0,356
1184,Samuel Moutoussamy,COD,MF,0,0,360
1185,Frenkie De Jong,NED,MF,0,0,360
1186,Nicolas Seiwald,AUT,MF,0,0,361
1187,Omar Alderete,PAR,DF,0,0,363
1188,Alexander Sorloth,NOR,FW,0,0,363
1189,Omar Marmoush,EGY,FW,0,0,369
1190,Stefan Posch,AUT,DF,0,0,370
1191,Manu Kone,FRA,MF,0,0,374
1192,Nathan Ngoy,BEL,DF,0,0,376
1193,Piero Hincapie,ECU,DF,0,0,376
1194,Aubrey Modiba,RSA,DF,0,0,381
1195,Lucas Digne,FRA,DF,0,0,381
1196,Ibrahim Maza,ALG,MF,0,0,389
1197,Victor Lindelof,SWE,DF,0,0,390
1198,Denis Zakaria,SUI,MF,0,0,392
1199,Tyler Adams,USA,MF,0,0,397
1200,Antonee Robinson,USA,DF,0,0,399
1201,Leandro Paredes,ARG,MF,0,0,399
1202,Aaron Wan Bissaka,COD,DF,0,0,399
1203,Ermedin Demirovic,BIH,FW,0,0,399
1204,Gustaf Lagerbielke,SWE,DF,0,0,400
1205,Tajon Buchanan,CAN,FW,0,0,401
1206,Mbekezeli Mbokazi,RSA,DF,0,0,402
1206,Khuliso Mudau,RSA,DF,0,0,402
1206,Ime Okon,RSA,DF,0,0,402
1206,Ronwen Williams,RSA,GK,0,0,402
